Gx	Gy	Gz	Gyrox	Gyroy	Gyroz
 0.006	-0.014	 1.098	 0.221	 0.862	 0.526
 0.002	-0.015	 1.092	 0.214	 0.847	 0.481
 0.004	-0.014	 1.097	 0.153	 0.824	 0.504
-0.002	-0.008	 1.095	 0.183	 0.832	 0.519
-0.002	-0.007	 1.101	 0.298	 0.862	 0.465
-0.003	-0.008	 1.101	 0.359	 0.900	 0.504
-0.003	-0.014	 1.101	 0.198	 0.938	 0.580
-0.002	-0.014	 1.102	 0.175	 0.900	 0.511
-0.004	-0.010	 1.097	 0.183	 0.923	 0.481
-0.001	-0.007	 1.099	 0.229	 0.870	 0.496
-0.002	-0.011	 1.094	 0.221	 0.847	 0.534
-0.000	-0.010	 1.099	 0.114	 0.900	 0.526
-0.001	-0.010	 1.097	 0.145	 0.885	 0.481
-0.004	-0.010	 1.107	 0.244	 0.832	 0.458
-0.007	-0.006	 1.098	 0.237	 0.847	 0.511
-0.004	-0.004	 1.101	 0.183	 0.877	 0.557
 0.004	-0.010	 1.104	 0.153	 0.900	 0.633
 0.002	-0.012	 1.099	 0.214	 0.931	 0.626
 0.003	-0.017	 1.092	 0.198	 0.870	 0.603
 0.008	-0.010	 1.095	 0.183	 0.847	 0.519
 0.010	-0.010	 1.098	 0.198	 0.854	 0.435
 0.008	-0.016	 1.098	 0.221	 0.839	 0.465
-0.004	-0.013	 1.098	 0.221	 0.877	 0.511
-0.001	-0.012	 1.096	 0.191	 0.969	 0.549
 0.004	-0.013	 1.099	 0.183	 0.938	 0.587
 0.000	-0.011	 1.108	 0.259	 0.847	 0.534
 0.004	-0.014	 1.094	 0.252	 0.809	 0.458
 0.006	-0.011	 1.093	 0.168	 0.801	 0.511
 0.003	-0.011	 1.093	 0.168	 0.847	 0.526
 0.004	-0.011	 1.108	 0.221	 0.900	 0.481
 0.000	-0.011	 1.113	 0.229	 0.900	 0.465
-0.001	-0.010	 1.112	 0.191	 0.847	 0.496
 0.002	-0.004	 1.105	 0.107	 0.862	 0.496
 0.004	-0.006	 1.099	 0.122	 0.877	 0.595
-0.000	-0.016	 1.092	 0.237	 0.946	 0.587
 0.001	-0.015	 1.096	 0.259	 0.877	 0.580
-0.001	-0.010	 1.110	 0.183	 0.824	 0.519
 0.000	-0.010	 1.101	 0.153	 0.801	 0.481
-0.001	-0.009	 1.107	 0.198	 0.870	 0.481
 0.003	-0.005	 1.112	 0.259	 0.832	 0.504
 0.004	-0.007	 1.104	 0.252	 0.832	 0.565
 0.002	-0.013	 1.107	 0.206	 0.847	 0.633
 0.001	-0.015	 1.108	 0.259	 0.870	 0.610
-0.001	-0.003	 1.113	 0.313	 0.854	 0.557
 0.001	-0.009	 1.101	 0.259	 0.870	 0.435
-0.002	-0.010	 1.102	 0.183	 0.877	 0.443
 0.001	-0.007	 1.102	 0.175	 0.877	 0.481
 0.003	-0.008	 1.105	 0.198	 0.854	 0.557
 0.004	-0.011	 1.099	 0.214	 0.877	 0.648
 0.000	-0.014	 1.092	 0.229	 0.900	 0.694
 0.004	-0.016	 1.099	 0.214	 0.870	 0.633
 0.005	-0.013	 1.094	 0.214	 0.847	 0.534
 0.003	-0.009	 1.089	 0.259	 0.847	 0.511
